[2025-05-18 18:24:22] 위도: 37.471328, 경도: 127.051016, dowsCd: -1
[2025-05-18 18:49:38] 위도: 37.559437, 경도: 126.969067, dowsCd: -1
[2025-05-18 18:49:48] 위도: 37.507332, 경도: 127.023146, dowsCd: -1
[2025-05-18 18:49:48] 위도: 37.576331, 경도: 127.025243, dowsCd: -1
[2025-05-18 18:49:58] 위도: 37.507323, 경도: 127.02315, dowsCd: -1
[2025-05-18 18:49:58] 위도: 37.589585, 경도: 127.06023, dowsCd: -1
[2025-05-18 18:50:09] 위도: 37.549714, 경도: 127.172947, dowsCd: -1
[2025-05-18 18:50:09] 위도: 37.562831, 경도: 127.175572, dowsCd: -1
[2025-05-18 18:50:19] 위도: 37.549073, 경도: 127.173047, dowsCd: -1
[2025-05-18 18:50:19] 위도: 37.562826, 경도: 127.175572, dowsCd: -1
[2025-05-18 18:50:30] 위도: 37.548697, 경도: 127.173116, dowsCd: -1
[2025-05-18 18:50:30] 위도: 37.562832, 경도: 127.175569, dowsCd: -1
[2025-05-18 18:50:42] 위도: 37.548673, 경도: 127.173124, dowsCd: -1
[2025-05-18 18:50:42] 위도: 37.562831, 경도: 127.175571, dowsCd: -1
[2025-05-18 18:50:52] 위도: 37.562826, 경도: 127.175571, dowsCd: -1
[2025-05-18 18:50:52] 위도: 37.507245, 경도: 127.023213, dowsCd: -1
[2025-05-18 18:51:02] 위도: 37.547396, 경도: 127.17332, dowsCd: -1
[2025-05-18 18:51:02] 위도: 37.562828, 경도: 127.17557, dowsCd: -1
[2025-05-18 18:51:12] 위도: 37.546847, 경도: 127.172811, dowsCd: -1
[2025-05-18 18:51:12] 위도: 37.562827, 경도: 127.175569, dowsCd: -1
[2025-05-18 18:51:22] 위도: 37.546495, 경도: 127.171834, dowsCd: -1
[2025-05-18 18:51:22] 위도: 37.56284, 경도: 127.175563, dowsCd: -1
[2025-05-18 18:51:32] 위도: 37.546371, 경도: 127.171557, dowsCd: -1
[2025-05-18 18:51:32] 위도: 37.56284, 경도: 127.175562, dowsCd: -1
[2025-05-18 18:51:42] 위도: 37.546067, 경도: 127.170943, dowsCd: -1
[2025-05-18 18:51:42] 위도: 37.562838, 경도: 127.175558, dowsCd: -1
[2025-05-18 18:51:52] 위도: 37.545603, 경도: 127.170026, dowsCd: -1
[2025-05-18 18:51:52] 위도: 37.562827, 경도: 127.175557, dowsCd: -1
[2025-05-18 18:52:02] 위도: 37.574333, 경도: 127.020085, dowsCd: -1
[2025-05-18 18:52:02] 위도: 37.570534, 경도: 126.994116, dowsCd: -1
[2025-05-18 18:52:14] 위도: 37.544451, 경도: 127.167194, dowsCd: -1
[2025-05-18 18:52:14] 위도: 37.562822, 경도: 127.175554, dowsCd: -1
[2025-05-18 18:52:24] 위도: 37.543938, 경도: 127.165911, dowsCd: -1
[2025-05-18 18:52:24] 위도: 37.56282, 경도: 127.175554, dowsCd: -1
[2025-05-18 18:52:34] 위도: 37.543396, 경도: 127.164676, dowsCd: -1
[2025-05-18 18:52:34] 위도: 37.562826, 경도: 127.175549, dowsCd: -1
[2025-05-18 18:52:44] 위도: 37.562839, 경도: 127.175545, dowsCd: -1
[2025-05-18 18:52:44] 위도: 37.501667, 경도: 127.025881, dowsCd: -1
[2025-05-18 18:52:54] 위도: 37.542409, 경도: 127.162368, dowsCd: -1
[2025-05-18 18:52:54] 위도: 37.542351, 경도: 127.16225, dowsCd: -1
[2025-05-18 18:53:04] 위도: 37.496279, 경도: 127.070089, dowsCd: -1
[2025-05-18 18:53:04] 위도: 37.605326, 경도: 127.026465, dowsCd: -1
[2025-05-18 18:53:14] 위도: 37.501677, 경도: 127.025848, dowsCd: -1
[2025-05-18 18:53:14] 위도: 37.57409, 경도: 127.019231, dowsCd: -1
[2025-05-18 18:53:24] ⚠️ 오류 발생: HTTPSConnectionPool(host='t-data.seoul.go.kr', port=443): Max retries exceeded with url: /apig/apiman-gateway/tapi/v2xPotholeInformation/1.0?apikey=ff53611e-25ab-485e-9eb2-c3bec426f6a7&type=json&pageNo=1&numOfRows=2 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))
[2025-05-18 18:53:35] 위도: 37.541327, 경도: 127.159863, dowsCd: -1
[2025-05-18 18:53:35] 위도: 37.562858, 경도: 127.175561, dowsCd: -1
[2025-05-18 18:53:45] 위도: 37.540844, 경도: 127.158748, dowsCd: -1
[2025-05-18 18:53:45] 위도: 37.562861, 경도: 127.175569, dowsCd: -1
[2025-05-18 18:53:55] 위도: 37.540295, 경도: 127.157463, dowsCd: -1
[2025-05-18 18:53:55] 위도: 37.562856, 경도: 127.175573, dowsCd: -1
[2025-05-18 18:54:05] 위도: 37.539723, 경도: 127.156044, dowsCd: -1
[2025-05-18 18:54:05] 위도: 37.562851, 경도: 127.175577, dowsCd: -1
[2025-05-18 18:54:15] 위도: 37.539118, 경도: 127.15465, dowsCd: -1
[2025-05-18 18:54:15] 위도: 37.562854, 경도: 127.175577, dowsCd: -1
[2025-05-18 18:54:25] 위도: 37.538503, 경도: 127.153185, dowsCd: -1
[2025-05-18 18:54:25] 위도: 37.562854, 경도: 127.175575, dowsCd: -1
[2025-05-18 18:54:35] 위도: 37.538101, 경도: 127.152046, dowsCd: -1
[2025-05-18 18:54:35] 위도: 37.562848, 경도: 127.175576, dowsCd: -1
[2025-05-18 18:54:45] 위도: 37.57192, 경도: 127.080176, dowsCd: -1
[2025-05-18 18:54:45] 위도: 37.578262, 경도: 127.04334, dowsCd: -1
[2025-05-18 18:54:55] 위도: 37.571999, 경도: 127.012097, dowsCd: -1
[2025-05-18 18:54:55] 위도: 37.581431, 경도: 127.046777, dowsCd: -1
[2025-05-18 18:55:05] 위도: 37.536743, 경도: 127.148881, dowsCd: -1
[2025-05-18 18:55:05] 위도: 37.496105, 경도: 127.028562, dowsCd: -1
[2025-05-18 18:55:16] 위도: 37.536761, 경도: 127.148873, dowsCd: -1
[2025-05-18 18:55:16] 위도: 37.496114, 경도: 127.028632, dowsCd: -1
[2025-05-18 18:55:26] 위도: 37.536612, 경도: 127.148556, dowsCd: -1
[2025-05-18 18:55:26] 위도: 37.56285, 경도: 127.175574, dowsCd: -1
[2025-05-18 18:55:36] 위도: 37.536368, 경도: 127.1479, dowsCd: -1
[2025-05-18 18:55:36] 위도: 37.562842, 경도: 127.175578, dowsCd: -1
[2025-05-18 18:55:46] 위도: 37.536039, 경도: 127.14713, dowsCd: -1
[2025-05-18 18:55:46] 위도: 37.56285, 경도: 127.175579, dowsCd: -1
[2025-05-18 18:55:56] 위도: 37.535704, 경도: 127.146405, dowsCd: -1
[2025-05-18 18:55:56] 위도: 37.562859, 경도: 127.175584, dowsCd: -1
[2025-05-18 18:56:06] 위도: 37.53551, 경도: 127.145924, dowsCd: -1
[2025-05-18 18:56:06] 위도: 37.56285, 경도: 127.17559, dowsCd: -1
[2025-05-18 18:56:16] 위도: 37.535482, 경도: 127.14587, dowsCd: -1
[2025-05-18 18:56:16] 위도: 37.562843, 경도: 127.175594, dowsCd: -1
[2025-05-18 18:56:26] 위도: 37.535481, 경도: 127.145872, dowsCd: -1
[2025-05-18 18:56:26] 위도: 37.562836, 경도: 127.175601, dowsCd: -1
[2025-05-18 18:56:36] 위도: 37.572484, 경도: 126.960809, dowsCd: -1
[2025-05-18 18:56:36] 위도: 37.464444, 경도: 126.897701, dowsCd: -1
[2025-05-18 18:56:46] 위도: 37.571342, 경도: 127.009075, dowsCd: -1
[2025-05-18 18:56:46] 위도: 37.579356, 경도: 127.042812, dowsCd: -1
[2025-05-18 18:56:56] 위도: 37.535495, 경도: 127.145881, dowsCd: -1
[2025-05-18 18:56:56] 위도: 37.493685, 경도: 127.029656, dowsCd: -1
[2025-05-18 18:57:07] 위도: 37.535496, 경도: 127.145883, dowsCd: -1
[2025-05-18 18:57:07] 위도: 37.493683, 경도: 127.029631, dowsCd: -1
[2025-05-18 18:57:17] 위도: 37.535497, 경도: 127.145877, dowsCd: -1
[2025-05-18 18:57:17] 위도: 37.562842, 경도: 127.175607, dowsCd: -1
[2025-05-18 18:57:27] 위도: 37.535384, 경도: 127.145619, dowsCd: -1
[2025-05-18 18:57:27] 위도: 37.562844, 경도: 127.175608, dowsCd: -1
[2025-05-18 18:57:37] 위도: 37.535057, 경도: 127.144768, dowsCd: -1
[2025-05-18 18:57:37] 위도: 37.562846, 경도: 127.175604, dowsCd: -1
[2025-05-18 18:57:47] 위도: 37.534565, 경도: 127.143671, dowsCd: -1
[2025-05-18 18:57:47] 위도: 37.562844, 경도: 127.175599, dowsCd: -1
[2025-05-18 18:57:57] 위도: 37.534237, 경도: 127.142929, dowsCd: -1
[2025-05-18 18:57:57] 위도: 37.562834, 경도: 127.175593, dowsCd: -1
[2025-05-18 18:58:07] 위도: 37.53423, 경도: 127.142922, dowsCd: -1
[2025-05-18 18:58:07] 위도: 37.56283, 경도: 127.175584, dowsCd: -1
[2025-05-18 18:58:17] 위도: 37.534144, 경도: 127.142667, dowsCd: -1
[2025-05-18 18:58:17] 위도: 37.56283, 경도: 127.175585, dowsCd: -1
[2025-05-18 18:58:27] 위도: 37.579334, 경도: 127.042477, dowsCd: -1
[2025-05-18 18:58:27] 위도: 37.557959, 경도: 126.973572, dowsCd: -1
[2025-05-18 18:58:37] ⚠️ 오류 발생: HTTPSConnectionPool(host='t-data.seoul.go.kr', port=443): Max retries exceeded with url: /apig/apiman-gateway/tapi/v2xPotholeInformation/1.0?apikey=ff53611e-25ab-485e-9eb2-c3bec426f6a7&type=json&pageNo=1&numOfRows=2 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))
[2025-05-18 18:58:48] 위도: 37.533788, 경도: 127.139485, dowsCd: -1
[2025-05-18 18:58:48] 위도: 37.490194, 경도: 127.031326, dowsCd: -1
[2025-05-18 18:58:58] 위도: 37.533854, 경도: 127.139055, dowsCd: -1
[2025-05-18 18:58:58] 위도: 37.490204, 경도: 127.031342, dowsCd: -1
[2025-05-18 18:59:08] 위도: 37.533856, 경도: 127.139052, dowsCd: -1
[2025-05-18 18:59:08] 위도: 37.562818, 경도: 127.175595, dowsCd: -1
[2025-05-18 18:59:18] 위도: 37.533854, 경도: 127.139053, dowsCd: -1
[2025-05-18 18:59:18] 위도: 37.56282, 경도: 127.175595, dowsCd: -1
[2025-05-18 18:59:28] 위도: 37.533849, 경도: 127.139051, dowsCd: -1
[2025-05-18 18:59:28] 위도: 37.56282, 경도: 127.175592, dowsCd: -1
[2025-05-18 18:59:38] 위도: 37.533832, 경도: 127.139038, dowsCd: -1
[2025-05-18 18:59:38] 위도: 37.562823, 경도: 127.175587, dowsCd: -1
[2025-05-18 18:59:48] 위도: 37.533828, 경도: 127.139037, dowsCd: -1
[2025-05-18 18:59:48] 위도: 37.562828, 경도: 127.175582, dowsCd: -1
[2025-05-18 18:59:58] 위도: 37.562833, 경도: 127.175578, dowsCd: -1
[2025-05-18 18:59:58] 위도: 37.490112, 경도: 127.031226, dowsCd: -1
[2025-05-18 19:00:08] 위도: 37.541436, 경도: 126.970631, dowsCd: -1
[2025-05-18 19:00:08] 위도: 37.586101, 경도: 127.051964, dowsCd: -1
[2025-05-18 19:00:18] 위도: 37.570836, 경도: 126.998866, dowsCd: -1
[2025-05-18 19:00:18] 위도: 37.578251, 경도: 127.038738, dowsCd: -1
[2025-05-18 19:00:28] 위도: 37.488668, 경도: 127.031934, dowsCd: -1
[2025-05-18 19:00:28] 위도: 37.539307, 경도: 126.961669, dowsCd: -1
[2025-05-18 19:00:39] 위도: 37.534205, 경도: 127.13785, dowsCd: -1
[2025-05-18 19:00:39] 위도: 37.488024, 경도: 127.032316, dowsCd: -1
[2025-05-18 19:00:49] 위도: 37.534519, 경도: 127.13679, dowsCd: -1
[2025-05-18 19:00:49] 위도: 37.562876, 경도: 127.175587, dowsCd: -1
[2025-05-18 19:00:59] 위도: 37.534567, 경도: 127.136645, dowsCd: -1
[2025-05-18 19:00:59] 위도: 37.562889, 경도: 127.175586, dowsCd: -1
[2025-05-18 19:01:09] 위도: 37.534587, 경도: 127.136569, dowsCd: -1
[2025-05-18 19:01:09] 위도: 37.562888, 경도: 127.175582, dowsCd: -1
[2025-05-18 19:01:19] 위도: 37.534812, 경도: 127.135924, dowsCd: -1
[2025-05-18 19:01:19] 위도: 37.562889, 경도: 127.17558, dowsCd: -1
[2025-05-18 19:01:29] 위도: 37.535036, 경도: 127.135085, dowsCd: -1
[2025-05-18 19:01:29] 위도: 37.562881, 경도: 127.175578, dowsCd: -1
[2025-05-18 19:01:39] 위도: 37.535152, 경도: 127.134697, dowsCd: -1
[2025-05-18 19:01:39] 위도: 37.562872, 경도: 127.17558, dowsCd: -1
[2025-05-18 19:01:49] 위도: 37.610083, 경도: 126.930312, dowsCd: -1
[2025-05-18 19:01:49] 위도: 37.513698, 경도: 127.100988, dowsCd: -1
[2025-05-18 19:01:59] 위도: 37.485069, 경도: 127.0338, dowsCd: -1
[2025-05-18 19:01:59] 위도: 37.570524, 경도: 126.992761, dowsCd: -1
[2025-05-18 19:02:09] 위도: 37.570526, 경도: 126.992753, dowsCd: -1
[2025-05-18 19:02:09] 위도: 37.578159, 경도: 127.03498, dowsCd: -1
[2025-05-18 19:02:20] 위도: 37.485071, 경도: 127.033801, dowsCd: -1
[2025-05-18 19:02:20] 위도: 37.570524, 경도: 126.992721, dowsCd: -1
[2025-05-18 19:02:30] 위도: 37.535148, 경도: 127.134657, dowsCd: -1
[2025-05-18 19:02:30] 위도: 37.562847, 경도: 127.175611, dowsCd: -1
[2025-05-18 19:02:40] 위도: 37.535142, 경도: 127.134655, dowsCd: -1
[2025-05-18 19:02:40] 위도: 37.562834, 경도: 127.175616, dowsCd: -1
[2025-05-18 19:02:50] 위도: 37.535149, 경도: 127.134652, dowsCd: -1
[2025-05-18 19:02:50] 위도: 37.562828, 경도: 127.175624, dowsCd: -1
[2025-05-18 19:03:00] 위도: 37.535137, 경도: 127.134649, dowsCd: -1
[2025-05-18 19:03:00] 위도: 37.562821, 경도: 127.175621, dowsCd: -1
[2025-05-18 19:03:10] 위도: 37.535144, 경도: 127.13465, dowsCd: -1
[2025-05-18 19:03:10] 위도: 37.562821, 경도: 127.17561, dowsCd: -1
[2025-05-18 19:03:20] 위도: 37.535151, 경도: 127.134646, dowsCd: -1
[2025-05-18 19:03:20] 위도: 37.562818, 경도: 127.175599, dowsCd: -1
[2025-05-18 19:03:30] 위도: 37.535141, 경도: 127.134649, dowsCd: -1
[2025-05-18 19:03:30] 위도: 37.562821, 경도: 127.175598, dowsCd: -1
[2025-05-18 19:03:40] 위도: 37.575795, 경도: 126.974044, dowsCd: -1
[2025-05-18 19:03:40] 위도: 37.496542, 경도: 127.022613, dowsCd: -1
[2025-05-18 19:03:50] 위도: 37.483879, 경도: 127.034649, dowsCd: -1
[2025-05-18 19:03:50] 위도: 37.570196, 경도: 126.987093, dowsCd: -1
[2025-05-18 19:04:00] 위도: 37.483241, 경도: 127.035378, dowsCd: -1
[2025-05-18 19:04:00] 위도: 37.575341, 경도: 127.02278, dowsCd: -1
